time,current_a,current_b,y,pres_line,temp,reciprocating_speed,well,freq,current,pres_head,pres_intake,temp_engine,load_engine
2021-08-01 00:00:00,,,,1.077748554449085,,,679.0,,,1.1482082719958049,,,
2021-08-01 01:00:00,,,,1.080934789592032,,,679.0,,,1.150972998043922,,,
2021-08-01 02:00:00,,,,1.0775377449405714,,,679.0,,,1.146492741765887,,,
2021-08-01 03:00:00,,,,1.058769675554128,,,679.0,,,1.1308395006957181,,,
2021-08-01 04:00:00,,,106.752998352051,0.9911316598595744,,,679.0,,,1.0758664796052115,,,
2021-08-01 05:00:00,,,,0.9603517507227757,,,679.0,,,1.033680856641594,,,
2021-08-01 06:00:00,,,,0.9901163324308201,,,679.0,,,1.0594112173494714,,,
2021-08-01 07:00:00,,,,1.090065852875038,,,679.0,,,1.1631208534150719,,,
2021-08-01 08:00:00,,,,1.1131602496443471,,,679.0,,,1.18158116863475,,,
2021-08-01 09:00:00,,,,1.0884998393832301,,,679.0,,,1.159515215067856,,,
2021-08-01 10:00:00,,,,1.0755070900830614,,,679.0,,,1.14455682855933,,,
2021-08-01 11:00:00,,,108.240409851074,1.0431095406360407,,,679.0,,,1.111359374054728,,,
2021-08-01 12:00:00,,,,1.0046062594649177,,,679.0,,,1.0740342760347186,,,
2021-08-01 13:00:00,,,,0.992587536138773,,,679.0,,,1.0611224263445522,,,
2021-08-01 14:00:00,,,,1.030798265338902,,,679.0,,,1.1023297217412829,,,
2021-08-01 15:00:00,,,,1.09054770318021,,,679.0,,,1.161088144548186,,,
2021-08-01 16:00:00,,,,1.079671653434903,,,679.0,,,1.152836314505233,,,
2021-08-01 17:00:00,,,,1.082645358175392,,,679.0,,,1.1542156526649041,,,
2021-08-01 18:00:00,,,,1.0458560873755238,,,679.0,,,1.1173330490921072,,,
2021-08-01 19:00:00,,,,1.0110424028268539,,,679.0,,,1.080796144306198,,,
2021-08-01 20:00:00,,,,1.0195608278647144,,,679.0,,,1.0927538653445628,,,
2021-08-01 21:00:00,,,,1.045663347253454,,,679.0,,,1.1260723144245681,,,
2021-08-01 22:00:00,,,,1.1055194805194828,,,679.0,,,1.1728522742658942,,,
2021-08-01 23:00:00,,,,1.107605203983294,,,679.0,,,1.1762608643045822,,,
2021-08-02 00:00:00,,,,1.0759545225092944,,,679.0,,,1.1465100267052313,,,
2021-08-02 01:00:00,,,107.304588317871,1.029738194667523,,,679.0,,,1.097275605477022,,,
2021-08-02 02:00:00,,,,0.970979991739709,,,679.0,,,1.0403977840707757,,,
2021-08-02 03:00:00,,,,0.9778429168005142,,,679.0,,,1.045586722861926,,,
2021-08-02 04:00:00,,,,1.0421217475104385,,,679.0,,,1.1137896365265356,,,
2021-08-02 05:00:00,,,,1.0770799871506562,,,679.0,,,1.1406642602190018,,,
2021-08-02 06:00:00,,,,1.0661282180716813,,,679.0,,,1.1344105691642443,,,
2021-08-02 07:00:00,,,,1.0700208801798898,,,679.0,,,1.14051906672851,,,
2021-08-02 08:00:00,,,106.498970031738,1.0226412280299202,,,679.0,,,1.0912500756216086,,,
2021-08-02 09:00:00,,,,0.9570269836170896,,,679.0,,,1.024049688438968,,,
2021-08-02 10:00:00,,,,0.9672112339956864,,,679.0,,,1.0392051232560215,,,
2021-08-02 11:00:00,,,,0.9846851911339541,,,679.0,,,1.0506200971989759,,,
2021-08-02 12:00:00,,,,1.07493919508054,,,679.0,,,1.1446605381953958,,,
2021-08-02 13:00:00,,,,1.084837777063926,,,679.0,,,1.154602835306218,,,
2021-08-02 14:00:00,,,,1.083595291634163,,,679.0,,,1.1543055343494941,,,
2021-08-02 15:00:00,,,108.222053527832,1.0957516864760681,,,679.0,,,1.185819435761962,,,
2021-08-02 16:00:00,,,,1.0209031251434084,,,679.0,,,1.0918204786199701,,,
2021-08-02 17:00:00,,,,1.0129216190170243,,,679.0,,,1.0776502853455399,,,
2021-08-02 18:00:00,,,,1.0215054380248738,,,679.0,,,1.0905932479265257,,,
2021-08-02 19:00:00,,,,1.091896884034692,,,679.0,,,1.160434773840974,,,
2021-08-02 20:00:00,,,,1.0846622458813258,,,679.0,,,1.1532511530494942,,,
2021-08-02 21:00:00,,,,1.07674269193704,,,679.0,,,1.144318296396378,,,
2021-08-02 22:00:00,,,107.400787353516,1.0380604377954186,,,679.0,,,1.1093819769937456,,,
2021-08-02 23:00:00,,,,0.9694105364600063,,,679.0,,,1.0406259452701199,,,
2021-08-03 00:00:00,,,,0.9624099398834381,,,679.0,,,1.0315997499445428,,,
2021-08-03 01:00:00,,,,0.9569547060713137,,,679.0,,,1.0276311278711021,,,
2021-08-03 02:00:00,,,,1.0340851727777518,,,679.0,,,1.1035223825560385,,,
2021-08-03 03:00:00,,,,1.04096530677803,,,679.0,,,1.109471858678336,,,
2021-08-03 04:00:00,,,,1.0465272360148685,,,679.0,,,1.1128043949839115,,,
2021-08-03 05:00:00,,,,1.0261484098939921,,,679.0,,,1.102623565710138,,,
2021-08-03 06:00:00,,,106.209693908691,0.9406578403928231,,,679.0,,,1.0116874998199477,,,
2021-08-03 07:00:00,,,,0.9252489559910057,,,679.0,,,0.9967533122265024,,,
2021-08-03 08:00:00,,,,0.9347035473360563,,,679.0,,,1.003891992175684,,,
2021-08-03 09:00:00,,,,1.044145518792162,,,679.0,,,1.11392445905342,,,
2021-08-03 10:00:00,,,,1.0183906199807276,,,679.0,,,1.0810001065904584,,,
2021-08-03 11:00:00,,,,0.9623273369739802,,,679.0,,,0.9683921837504285,,,
