time,current_a,current_b,y,pres_line,temp,reciprocating_speed,freq,current,pres_head,pres_intake,temp_engine,load_engine
2021-01-01 00:00:00,,,,0.7332423171645787,402.0,,49.5,29.975,0.6718197879858661,3.0,52.025,
2021-01-01 01:00:00,,,,0.7326667737445122,402.0,,49.5,30.02,0.669671538708641,3.0,52.0,
2021-01-01 02:00:00,,,,0.732225077631438,402.0,,49.5,29.985714285714288,0.668968840346932,3.0,52.028571428571425,
2021-01-01 03:00:00,,,,0.7330549309347897,402.0,,49.5,29.98,0.6687680693864437,3.0,52.0,
2021-01-01 04:00:00,,,,0.7328140057822035,402.0,,49.5,29.957142857142856,0.6723819466752331,3.0,52.01428571428572,
2021-01-01 05:00:00,,,,0.7336438590855554,402.0,,49.5,29.96,0.6731649534211374,3.0,52.04,
2021-01-01 06:00:00,,,,0.7344335581968092,402.0,,49.5,29.985714285714288,0.6726831031159657,3.0,51.957142857142856,
2021-01-01 07:00:00,,,,0.7352232573080631,402.0,,49.5,29.96,0.66935030517186,3.0,51.98,
2021-01-01 08:00:00,,,,0.7360798800728129,402.0,,49.5,29.985714285714288,0.6619820109219403,3.0,52.0,
2021-01-01 09:00:00,,,,0.7379938965628009,402.0,,49.5,29.919999999999998,0.6657966591712176,3.0,51.96,
2021-01-01 10:00:00,,,,0.7424242424242423,402.0,,49.5,29.985714285714288,0.6657163507870222,3.0,51.957142857142856,
2021-01-01 11:00:00,,,,0.747229360745262,401.6,,49.5,29.919999999999998,0.665274654673948,3.0,52.04,
2021-01-01 12:00:00,,,,0.7497992290395117,401.14285714285717,,49.5,29.957142857142856,0.666519434628975,3.0,52.01428571428572,
2021-01-01 13:00:00,,,,0.7527706392547383,400.4,,49.5,29.98,0.670494699646643,3.0,51.98,
2021-01-01 14:00:00,,,,0.753560338365992,401.7142857142857,,49.5,29.985714285714288,0.6704143912624477,3.0,52.01428571428572,
2021-01-01 15:00:00,,,,0.750977085341043,402.0,,49.5,30.0,0.7008914230645676,3.0,51.98,
2021-01-01 16:00:00,,,,0.7473498233215551,402.0,,49.5,29.985714285714288,0.6891463218760037,3.0,51.957142857142856,
2021-01-01 17:00:00,,,,0.7461853517507228,402.0,,49.5,29.98,0.7055493093478958,3.0,51.96,
2021-01-01 18:00:00,,,195.961441040039,0.7462790448656174,400.0,,49.5,29.97142857142857,0.6743294249919692,3.0,51.871428571428574,
2021-01-01 19:00:00,,,,0.7458105792911448,400.0,,49.5,30.0,0.6616808544812077,3.0,51.98,
2021-01-01 20:00:00,,,,0.7456499625227542,400.0,,49.5,29.985714285714288,0.6697518470928365,3.0,51.971428571428575,
2021-01-01 21:00:00,,,,0.7443382589142304,400.0,,49.5,30.0,0.6722614840989398,3.0,52.04,
2021-01-01 22:00:00,,,,0.7434147124959848,400.2857142857143,,49.5,29.985714285714288,0.6726429489238677,3.0,51.98571428571428,
2021-01-01 23:00:00,,,,0.7416746975050863,401.2,,49.5,30.0,0.6724020237712818,3.0,51.96,
2021-01-02 00:00:00,,,,0.7406574579719455,402.0,,49.5,30.014285714285712,0.6709163186636683,3.0,52.042857142857144,
2021-01-02 01:00:00,,,,0.7415542349287932,402.0,,49.5,30.02,0.6709163186636683,3.0,52.04,
2021-01-02 02:00:00,,,,0.7379403576400043,402.0,,49.5,29.942857142857143,0.6713379376806938,3.0,51.92857142857143,
2021-01-02 03:00:00,,,,0.7330549309347895,402.0,,49.5,30.0,0.6693302280758114,3.0,52.1,
2021-01-02 04:00:00,,,,0.7315156869043795,402.0,,49.5,30.0,0.6737271121105044,3.0,51.971428571428575,
2021-01-02 05:00:00,,,,0.7322250776314382,402.0,,49.5,29.939999999999998,0.6775819145518791,3.0,51.96,
2021-01-02 06:00:00,,,,0.7325195417068208,402.0,,49.5,29.985714285714288,0.6868575329264374,3.0,52.05714285714286,
2021-01-02 07:00:00,,,,0.7326400042831139,402.0,,49.5,29.98,0.6854722132990684,3.0,51.9,
2021-01-02 08:00:00,,,,0.729574900952993,402.0,,49.5,29.957142857142856,0.6851509797622873,3.0,51.971428571428575,
2021-01-02 09:00:00,,,,0.7284371988435593,402.0,,49.5,29.919999999999998,0.6736267266302601,3.0,51.98,
2021-01-02 10:00:00,,,,0.7334966270478639,401.42857142857144,,49.5,29.942857142857143,0.6745904272406039,3.0,51.94285714285714,
2021-01-02 11:00:00,,,,0.7398276046685942,400.0,,49.5,29.96,0.6796900096370062,3.0,51.96,
2021-01-02 12:00:00,,,,0.7435619445336759,400.0,,49.5,30.0,0.6847695149373595,3.0,51.92857142857143,
2021-01-02 13:00:00,,,,0.743254095727594,400.0,,49.5,29.9,0.6711572438162544,3.0,51.879999999999995,
2021-01-02 14:00:00,,,,0.742946246921512,400.0,,49.5,29.985714285714288,0.6678646000642466,3.0,51.971428571428575,
2021-01-02 15:00:00,,,,0.7394796016704143,400.8,,49.5,29.919999999999998,0.6658769675554128,3.0,51.94,
2021-01-02 16:00:00,,,,0.7351831031159654,400.2857142857143,,49.5,29.942857142857143,0.6655758111146803,3.0,51.92857142857143,
2021-01-02 17:00:00,,,,0.7310338365992074,400.0,,49.5,29.96,0.6695109219402503,3.0,51.96,
2021-01-02 18:00:00,,,,0.7320778455937466,400.0,,49.5,29.957142857142856,0.677943302280758,3.0,51.92857142857143,
2021-01-02 19:00:00,,,,0.7342194025056216,400.0,,49.5,29.96,0.6759155155798265,3.0,51.92,
2021-01-02 20:00:00,,,,0.7345941749651997,400.0,,49.5,29.97142857142857,0.671217475104401,3.0,52.01428571428572,
